"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.740383390E0,-1.967754364E-1,-1.597976685E-2,-1.161945015E-1
1.745357817E0,-2.211514711E-1,-3.514003754E-2,-1.195156276E-1
1.750332296E0,-2.247676849E-1,-6.673812866E-3,-8.468693495E-2
1.755278859E0,-2.221202850E-1,-8.177757263E-3,-2.385351062E-2
1.760253338E0,-1.683009863E-1,-4.934310913E-3,5.786462128E-2
1.765227765E0,-1.064373255E-1,3.032875061E-2,1.377852261E-1
1.770202244E0,-8.410429955E-2,4.865360260E-2,1.739192158E-1
1.775176671E0,-4.868388176E-2,9.768772125E-2,2.094370127E-1
1.780151151E0,-4.082334042E-2,1.213665009E-1,1.731721014E-1
1.785093286E0,-8.495068550E-2,1.079883575E-1,1.666154712E-1
1.790067765E0,-1.402398348E-1,1.267509460E-1,9.837950766E-2
1.795042192E0,-2.157424688E-1,1.286392212E-1,1.286821067E-2
1.800016671E0,-2.744979858E-1,1.078615189E-1,-1.376506686E-2
1.804991099E0,-2.763150930E-1,6.817245483E-2,2.398854494E-2
1.809965578E0,-1.717563868E-1,1.035566330E-1,4.022793472E-2
1.814907453E0,-1.140820980E-1,4.001426697E-2,3.073930740E-3
1.819881932E0,1.484215260E-2,3.276062012E-2,1.018816233E-2
1.824856359E0,1.188877821E-1,1.810073853E-3,-3.246730566E-2
1.829830838E0,2.325240374E-1,-3.717517853E-2,2.535253763E-3
1.834805265E0,2.926457524E-1,-7.699203491E-2,4.079625010E-3
1.839779744E0,3.139032125E-1,-1.093063354E-1,2.804328501E-2
1.844725005E0,3.167706728E-1,-1.175451279E-1,9.305645525E-2
1.849699484E0,3.290047646E-1,-1.138200760E-1,2.117993683E-1
1.854673911E0,3.088328242E-1,-1.314706802E-1,2.720099688E-1
1.859648390E0,2.603412271E-1,-7.533168793E-2,3.289366961E-1
1.864622817E0,1.860901117E-1,-4.578304291E-2,3.314267397E-1
1.869597296E0,1.446270943E-1,-8.179664612E-3,2.517439127E-1
1.874541151E0,9.778130054E-2,1.601314545E-2,1.358998865E-1
1.879515630E0,9.669923782E-2,1.145935059E-2,4.634894431E-2
1.884490057E0,8.152067661E-2,5.085754395E-2,-8.945900202E-2
1.889464536E0,4.531919956E-2,-5.138397217E-3,-2.080073059E-1
1.894438963E0,4.977893829E-2,-1.791667938E-2,-2.170116752E-1
